aid,advertiserId,campaignId,creativeId,creativeSize,adCategoryId,productId,productType,creativeSize_cross
130,29,53,130,3,9,13,4,3
131,1,13,131,13,7,1,1,13
132,23,92,132,1,35,1,1,1
133,28,109,133,1,36,28,4,1
134,69,110,134,5,20,29,4,5
135,15,111,135,4,3,2,2,4
136,43,112,136,14,6,1,3,14
137,70,113,137,2,5,30,4,2
138,1,114,138,8,7,1,1,8
139,71,115,139,3,4,1,3,3
140,17,20,140,3,3,1,1,3
141,72,116,141,5,37,1,3,5
142,61,117,142,5,5,31,4,5
143,30,118,143,3,17,1,3,3
144,29,119,144,5,20,13,4,5
145,73,120,145,12,3,2,2,12
146,51,121,146,1,7,1,1,1
147,74,122,147,2,38,1,3,2
148,21,123,148,3,3,2,2,3
149,50,124,149,6,6,1,3,6
150,21,125,150,3,4,2,2,3
151,75,126,151,3,39,32,2,3
152,46,127,152,4,20,18,4,4
153,26,128,153,4,3,2,2,4
154,54,129,154,4,12,1,3,4
155,3,73,155,3,3,2,2,3
156,20,130,156,5,13,10,4,5
157,74,122,157,2,38,1,3,2
158,76,131,158,3,39,33,2,3
159,29,119,159,5,9,13,4,5
160,1,72,160,1,25,1,1,1
161,67,107,161,1,20,27,4,1
162,77,132,162,3,40,1,2,3
163,1,133,163,13,7,1,1,13
164,29,134,164,4,20,13,4,4
165,17,20,165,3,8,1,1,3
166,27,60,166,15,13,1,3,15
167,78,135,167,6,6,1,3,6
168,54,129,168,4,12,1,3,4
169,79,136,169,15,11,1,3,15
170,34,41,170,6,6,1,3,6
171,43,137,171,14,6,1,3,14
172,3,138,172,3,3,2,2,3
173,76,131,173,3,39,33,2,3
